Commodity,Date,Minimum,Maximum,Average
Brocauli,1/5/2021,40,50,45
Sugarbeet,1/5/2021,90,100,95
Red Cabbbage,1/5/2021,150,200,175
Lettuce,1/5/2021,50,60,55
Knolkhol,1/5/2021,40,50,45
Celery,1/5/2021,220,250,235
Parseley,1/5/2021,350,400,375
Fennel Leaf,1/5/2021,90,100,95
Mint,1/5/2021,220,250,235
Turnip A,1/5/2021,70,80,75
Tamarind,1/5/2021,140,150,145
Bamboo Shoot,1/5/2021,70,80,75
Tofu,1/5/2021,70,80,75
Gundruk,1/5/2021,220,250,235
Apple(Jholey),1/5/2021,220,230,225
Apple(Fuji),1/5/2021,280,290,285
Banana,1/5/2021,90,100,95
Lime,1/5/2021,110,120,115
Pomegranate,1/5/2021,250,300,275
Grapes(Green),1/5/2021,240,250,245
Grapes(Black),1/5/2021,340,350,345
Orange(Nepali),1/5/2021,90,100,95
Orange(Indian),1/5/2021,70,80,75
Water Melon(Green),1/5/2021,50,60,55
Sweet Orange,1/5/2021,150,160,155
Pineapple,1/5/2021,150,160,155
Cucumber(Local),1/5/2021,80,90,85
Cucumber(Hybrid),1/5/2021,40,50,45
Pear(Chinese),1/5/2021,260,270,265
Papaya(Indian),1/5/2021,90,100,95
Guava,1/5/2021,90,100,95
Mombin,1/5/2021,30,40,35
Kinnow,1/5/2021,70,80,75
Strawberry,1/5/2021,500,550,525
Kiwi,1/5/2021,220,250,235
Ginger,1/5/2021,50,60,55
Chilli Dry,1/5/2021,320,330,325
Chilli Green,1/5/2021,80,90,85
Chilli Green(Bullet),1/5/2021,90,100,95
Chilli Green(Machhe),1/5/2021,90,100,95
Capsicum,1/5/2021,70,80,75
Garlic Green,1/5/2021,120,130,125
Coriander Green,1/5/2021,100,120,110
Garlic Dry Chinese,1/5/2021,200,210,205
Fish Fresh(Rahu),1/5/2021,270,280,275
Fish Fresh(Bachuwa),1/5/2021,200,210,205
Fish Fresh(Chhadi),1/5/2021,200,210,205
Fish Fresh(Mungari),1/5/2021,270,280,275
Tomato Big(Nepali),1/6/2021,50,60,55
Tomato Big(Indian),1/6/2021,50,60,55
Tomato Small(Local),1/6/2021,35,45,40
Tomato Small(Tunnel),1/6/2021,35,45,40
Tomato Small(Indian),1/6/2021,40,50,45
Tomato Small(Terai),1/6/2021,40,50,45
Potato Red,1/6/2021,38,42,40
Potato Red(Indian),1/6/2021,30,35,32.5
Potato White,1/6/2021,28,30,29
Onion Dry (Indian),1/6/2021,60,65,62.5
Carrot(Local),1/6/2021,110,120,115
Carrot(Terai),1/6/2021,70,80,75
Cabbage(Local),1/6/2021,25,30,27.5
Cabbage(Terai),1/6/2021,20,25,22.5
Cabbage,1/6/2021,30,35,32.5
Cauli Local,1/6/2021,25,35,30
Cauli Local(Jyapu),1/6/2021,40,45,42.5
Cauli Terai,1/6/2021,20,25,22.5
Raddish Red,1/6/2021,35,40,37.5
Raddish White(Local),1/6/2021,10,15,12.5
Raddish White(Hybrid),1/6/2021,15,20,17.5
Brinjal Long,1/6/2021,35,40,37.5
Brinjal Round,1/6/2021,35,40,37.5
Green Peas,1/6/2021,45,50,47.5
French Bean(Local),1/6/2021,40,50,45
French Bean(Hybrid),1/6/2021,50,60,55
Sword Bean,1/6/2021,35,40,37.5
Bitter Gourd,1/6/2021,100,110,105
Bottle Gourd,1/6/2021,30,40,35
Pumpkin,1/6/2021,25,30,27.5
Squash(Long),1/6/2021,25,30,27.5
Squash(Round),1/6/2021,45,50,47.5
Turnip,1/6/2021,70,80,75
Okara,1/6/2021,70,80,75
Sweet Potato,1/6/2021,70,80,75
Barela,1/6/2021,50,60,55
Arum,1/6/2021,50,60,55
Christophine,1/6/2021,15,20,17.5
Brd Leaf Mustard,1/6/2021,40,50,45
Spinach Leaf,1/6/2021,70,80,75
Cress Leaf,1/6/2021,90,100,95
Mustard Leaf,1/6/2021,50,60,55
Fenugreek Leaf,1/6/2021,70,80,75
Onion Green,1/6/2021,50,60,55
Bakula,1/6/2021,100,110,105
Yam,1/6/2021,50,60,55
Mushroom(Kanya),1/6/2021,120,150,135
Mushroom(Button),1/6/2021,250,280,265
Brocauli,1/6/2021,35,40,37.5
Sugarbeet,1/6/2021,70,80,75
Red Cabbbage,1/6/2021,150,170,160
Lettuce,1/6/2021,50,60,55
Knolkhol,1/6/2021,50,60,55
Celery,1/6/2021,220,250,235
Parseley,1/6/2021,380,400,390
Fennel Leaf,1/6/2021,80,90,85
Mint,1/6/2021,220,250,235
Turnip A,1/6/2021,70,80,75
Tamarind,1/6/2021,140,150,145
Bamboo Shoot,1/6/2021,70,80,75
Tofu,1/6/2021,70,80,75
Gundruk,1/6/2021,220,230,225
Apple(Jholey),1/6/2021,190,200,195
Apple(Fuji),1/6/2021,290,300,295
Banana,1/6/2021,90,100,95
Lime,1/6/2021,100,110,105
Pomegranate,1/6/2021,280,300,290
Grapes(Green),1/6/2021,200,220,210
Grapes(Black),1/6/2021,350,360,355
Orange(Nepali),1/6/2021,90,100,95
Orange(Indian),1/6/2021,70,80,75
Water Melon(Green),1/6/2021,40,50,45
Sweet Orange,1/6/2021,150,160,155
Pineapple,1/6/2021,120,130,125
Cucumber(Local),1/6/2021,80,90,85
Cucumber(Hybrid),1/6/2021,40,50,45
Pear(Chinese),1/6/2021,250,260,255
Papaya(Indian),1/6/2021,90,100,95
Guava,1/6/2021,100,110,105
Mombin,1/6/2021,30,40,35
Kinnow,1/6/2021,70,80,75
Strawberry,1/6/2021,500,550,525
Kiwi,1/6/2021,220,250,235
Ginger,1/6/2021,50,60,55
Chilli Dry,1/6/2021,320,330,325
Chilli Green,1/6/2021,80,90,85
Chilli Green(Bullet),1/6/2021,90,100,95
Chilli Green(Machhe),1/6/2021,70,80,75
Chilli Green(Akbare),1/6/2021,350,380,365
Capsicum,1/6/2021,60,70,65
Garlic Green,1/6/2021,130,140,135
Coriander Green,1/6/2021,90,100,95
Garlic Dry Chinese,1/6/2021,190,200,195
Fish Fresh(Rahu),1/6/2021,270,280,275
Fish Fresh(Bachuwa),1/6/2021,200,210,205
Fish Fresh(Chhadi),1/6/2021,200,210,205
Fish Fresh(Mungari),1/6/2021,260,270,265
Tomato Big(Nepali),1/7/2021,45,50,47.5
Tomato Big(Indian),1/7/2021,45,50,47.5
Tomato Small(Local),1/7/2021,30,40,35
Tomato Small(Tunnel),1/7/2021,30,40,35
Tomato Small(Indian),1/7/2021,35,40,37.5
Tomato Small(Terai),1/7/2021,35,40,37.5
Potato Red,1/7/2021,40,45,42.5
Potato Red(Indian),1/7/2021,30,35,32.5
Potato White,1/7/2021,28,30,29
Onion Dry (Indian),1/7/2021,65,70,67.5
Carrot(Local),1/7/2021,110,120,115
Carrot(Terai),1/7/2021,70,80,75
Cabbage(Local),1/7/2021,25,30,27.5
Cabbage(Terai),1/7/2021,20,25,22.5
Cabbage,1/7/2021,30,35,32.5
Cauli Local,1/7/2021,22,28,25
Cauli Local(Jyapu),1/7/2021,35,40,37.5
Cauli Terai,1/7/2021,18,22,20
Raddish Red,1/7/2021,30,40,35
Raddish White(Local),1/7/2021,10,15,12.5
Raddish White(Hybrid),1/7/2021,15,20,17.5
Brinjal Long,1/7/2021,50,55,52.5
Brinjal Round,1/7/2021,55,60,57.5
Green Peas,1/7/2021,40,50,45
French Bean(Local),1/7/2021,40,50,45
Sword Bean,1/7/2021,35,40,37.5
Bitter Gourd,1/7/2021,100,120,110
Bottle Gourd,1/7/2021,45,50,47.5
Pumpkin,1/7/2021,25,30,27.5
Squash(Long),1/7/2021,25,30,27.5
Squash(Round),1/7/2021,40,50,45
Turnip,1/7/2021,70,80,75
Okara,1/7/2021,70,80,75
Sweet Potato,1/7/2021,50,60,55
Barela,1/7/2021,50,60,55
Arum,1/7/2021,50,60,55
Christophine,1/7/2021,15,20,17.5
Brd Leaf Mustard,1/7/2021,40,50,45
Spinach Leaf,1/7/2021,70,80,75
Cress Leaf,1/7/2021,90,100,95
Mustard Leaf,1/7/2021,50,60,55
Fenugreek Leaf,1/7/2021,70,80,75
Onion Green,1/7/2021,40,50,45
Bakula,1/7/2021,100,110,105
Yam,1/7/2021,50,60,55
Mushroom(Kanya),1/7/2021,100,120,110
Mushroom(Button),1/7/2021,240,260,250
Brocauli,1/7/2021,40,50,45
Sugarbeet,1/7/2021,80,90,85
Red Cabbbage,1/7/2021,150,200,175
Lettuce,1/7/2021,50,60,55
Knolkhol,1/7/2021,50,60,55
Celery,1/7/2021,220,250,235
Parseley,1/7/2021,380,400,390
Fennel Leaf,1/7/2021,90,100,95
Mint,1/7/2021,220,250,235
Turnip A,1/7/2021,70,80,75
Tamarind,1/7/2021,140,150,145
Bamboo Shoot,1/7/2021,70,80,75
Tofu,1/7/2021,70,80,75
Gundruk,1/7/2021,220,250,235
Apple(Jholey),1/7/2021,190,200,195
Apple(Fuji),1/7/2021,290,300,295
Banana,1/7/2021,90,100,95
Lime,1/7/2021,100,120,110
Pomegranate,1/7/2021,280,300,290
Grapes(Green),1/7/2021,200,220,210
Grapes(Black),1/7/2021,350,360,355
Orange(Nepali),1/7/2021,90,100,95
Water Melon(Green),1/7/2021,40,50,45
Sweet Orange,1/7/2021,150,160,155
Pineapple,1/7/2021,120,130,125
Cucumber(Local),1/7/2021,80,90,85
Cucumber(Hybrid),1/7/2021,40,50,45
Pear(Chinese),1/7/2021,250,260,255
Papaya(Nepali),1/7/2021,90,100,95
Guava,1/7/2021,90,100,95
Mombin,1/7/2021,30,40,35
Kinnow,1/7/2021,70,80,75
Strawberry,1/7/2021,500,550,525
Kiwi,1/7/2021,220,250,235
Ginger,1/7/2021,50,60,55
Chilli Dry,1/7/2021,320,330,325
Chilli Green,1/7/2021,80,90,85
Chilli Green(Bullet),1/7/2021,70,80,75
Chilli Green(Machhe),1/7/2021,70,80,75
Chilli Green(Akbare),1/7/2021,350,400,375
Capsicum,1/7/2021,60,70,65
Garlic Green,1/7/2021,140,150,145
Coriander Green,1/7/2021,50,70,60
Garlic Dry Chinese,1/7/2021,190,200,195
Fish Fresh(Rahu),1/7/2021,270,280,275
Fish Fresh(Bachuwa),1/7/2021,200,210,205
Fish Fresh(Chhadi),1/7/2021,200,210,205
Tomato Big(Nepali),1/8/2021,50,55,52.5
Tomato Big(Indian),1/8/2021,50,55,52.5
Tomato Small(Local),1/8/2021,25,35,30
Tomato Small(Tunnel),1/8/2021,25,35,30
Tomato Small(Indian),1/8/2021,30,35,32.5
Tomato Small(Terai),1/8/2021,30,35,32.5
Potato Red,1/8/2021,40,45,42.5
Potato Red(Indian),1/8/2021,30,35,32.5
Potato White,1/8/2021,28,30,29
Onion Dry (Indian),1/8/2021,70,75,72.5
Carrot(Local),1/8/2021,100,110,105
Carrot(Terai),1/8/2021,70,80,75
Cabbage(Local),1/8/2021,20,30,25
Cabbage(Terai),1/8/2021,18,25,21.5
Cabbage,1/8/2021,25,30,27.5
Cauli Local,1/8/2021,20,30,25
Cauli Local(Jyapu),1/8/2021,35,40,37.5
Cauli Terai,1/8/2021,15,20,17.5
Raddish Red,1/8/2021,30,40,35
Raddish White(Local),1/8/2021,10,15,12.5
Raddish White(Hybrid),1/8/2021,15,20,17.5
Brinjal Long,1/8/2021,35,40,37.5
Brinjal Round,1/8/2021,35,40,37.5
Green Peas,1/8/2021,50,60,55
French Bean(Local),1/8/2021,50,60,55
French Bean(Hybrid),1/8/2021,60,70,65
Sword Bean,1/8/2021,35,40,37.5
Bitter Gourd,1/8/2021,100,110,105
Bottle Gourd,1/8/2021,35,40,37.5
Pumpkin,1/8/2021,25,30,27.5
Squash(Long),1/8/2021,25,30,27.5
Squash(Round),1/8/2021,45,50,47.5
Turnip,1/8/2021,70,80,75
Okara,1/8/2021,70,80,75
Sweet Potato,1/8/2021,50,60,55
Barela,1/8/2021,50,60,55
Arum,1/8/2021,40,50,45
Christophine,1/8/2021,15,20,17.5
Brd Leaf Mustard,1/8/2021,35,40,37.5
Spinach Leaf,1/8/2021,60,70,65
Cress Leaf,1/8/2021,90,100,95
Mustard Leaf,1/8/2021,50,60,55
Fenugreek Leaf,1/8/2021,70,80,75
Onion Green,1/8/2021,50,60,55
Bakula,1/8/2021,110,120,115
Yam,1/8/2021,50,60,55
Mushroom(Kanya),1/8/2021,100,120,110
Mushroom(Button),1/8/2021,250,260,255
Brocauli,1/8/2021,30,40,35
Sugarbeet,1/8/2021,90,100,95
Red Cabbbage,1/8/2021,150,200,175
Lettuce,1/8/2021,50,60,55
Knolkhol,1/8/2021,50,60,55
Celery,1/8/2021,220,250,235
Parseley,1/8/2021,350,400,375
Fennel Leaf,1/8/2021,90,100,95
Mint,1/8/2021,220,250,235
Turnip A,1/8/2021,70,80,75
Tamarind,1/8/2021,140,150,145
Bamboo Shoot,1/8/2021,80,90,85
Tofu,1/8/2021,70,80,75
Gundruk,1/8/2021,220,250,235
Apple(Jholey),1/8/2021,190,200,195
Apple(Fuji),1/8/2021,290,300,295
Banana,1/8/2021,90,100,95
Lime,1/8/2021,110,120,115
Pomegranate,1/8/2021,280,300,290
Grapes(Green),1/8/2021,200,220,210
Grapes(Black),1/8/2021,320,350,335
Orange(Nepali),1/8/2021,100,110,105
Water Melon(Green),1/8/2021,40,50,45
Sweet Orange,1/8/2021,150,160,155
Pineapple,1/8/2021,120,130,125
Cucumber(Local),1/8/2021,80,90,85
Cucumber(Hybrid),1/8/2021,40,50,45
Pear(Chinese),1/8/2021,250,260,255
Papaya(Nepali),1/8/2021,90,100,95
Guava,1/8/2021,100,110,105
Mombin,1/8/2021,30,40,35
Kinnow,1/8/2021,70,80,75
Strawberry,1/8/2021,500,550,525
Kiwi,1/8/2021,220,250,235
Ginger,1/8/2021,50,60,55
Chilli Dry,1/8/2021,320,330,325
Chilli Green,1/8/2021,70,80,75
Chilli Green(Bullet),1/8/2021,80,90,85
Chilli Green(Machhe),1/8/2021,70,80,75
Capsicum,1/8/2021,60,70,65
Garlic Green,1/8/2021,120,130,125
Coriander Green,1/8/2021,80,100,90
Garlic Dry Chinese,1/8/2021,185,195,190
Fish Fresh(Rahu),1/8/2021,270,280,275
Fish Fresh(Bachuwa),1/8/2021,200,210,205
Fish Fresh(Chhadi),1/8/2021,200,210,205
Fish Fresh(Mungari),1/8/2021,260,270,265
Tomato Big(Nepali),1/9/2021,40,50,45
Tomato Big(Indian),1/9/2021,40,50,45
Tomato Small(Local),1/9/2021,15,25,20
Tomato Small(Indian),1/9/2021,20,30,25
Tomato Small(Terai),1/9/2021,20,30,25
Potato Red,1/9/2021,35,40,37.5
Potato Red(Indian),1/9/2021,30,35,32.5
Potato White,1/9/2021,28,30,29
Onion Dry (Indian),1/9/2021,70,75,72.5
Carrot(Local),1/9/2021,90,100,95
Carrot(Terai),1/9/2021,60,70,65
Cabbage(Local),1/9/2021,20,30,25
Cabbage(Terai),1/9/2021,18,25,21.5
Cauli Local,1/9/2021,20,30,25
Cauli Local(Jyapu),1/9/2021,30,40,35
Cauli Terai,1/9/2021,15,20,17.5
Raddish Red,1/9/2021,30,40,35
Raddish White(Local),1/9/2021,10,15,12.5
Raddish White(Hybrid),1/9/2021,15,20,17.5
Brinjal Long,1/9/2021,30,40,35
Brinjal Round,1/9/2021,30,40,35
Green Peas,1/9/2021,40,50,45
French Bean(Local),1/9/2021,50,60,55
French Bean(Hybrid),1/9/2021,60,70,65
Sword Bean,1/9/2021,30,40,35
Bitter Gourd,1/9/2021,100,110,105
Bottle Gourd,1/9/2021,30,40,35
Pointed Gourd(Terai),1/9/2021,150,160,155
Pumpkin,1/9/2021,25,30,27.5
Squash(Long),1/9/2021,25,30,27.5
Squash(Round),1/9/2021,40,50,45
Turnip,1/9/2021,70,80,75
Okara,1/9/2021,70,80,75
Sweet Potato,1/9/2021,70,80,75
Barela,1/9/2021,40,50,45
Arum,1/9/2021,50,60,55
Christophine,1/9/2021,15,20,17.5
Brd Leaf Mustard,1/9/2021,30,40,35
Spinach Leaf,1/9/2021,60,70,65
Cress Leaf,1/9/2021,90,100,95
Mustard Leaf,1/9/2021,50,60,55
Fenugreek Leaf,1/9/2021,70,80,75
Onion Green,1/9/2021,50,60,55
Bakula,1/9/2021,100,110,105
Yam,1/9/2021,50,60,55
Mushroom(Kanya),1/9/2021,100,120,110
Mushroom(Button),1/9/2021,240,260,250
Brocauli,1/9/2021,30,40,35
Sugarbeet,1/9/2021,80,90,85
Red Cabbbage,1/9/2021,150,200,175
Lettuce,1/9/2021,50,60,55
Knolkhol,1/9/2021,60,70,65
Celery,1/9/2021,220,250,235
Parseley,1/9/2021,380,400,390
Fennel Leaf,1/9/2021,90,100,95
Mint,1/9/2021,220,250,235
Turnip A,1/9/2021,70,80,75
Tamarind,1/9/2021,140,150,145
Bamboo Shoot,1/9/2021,80,90,85
Tofu,1/9/2021,70,80,75
Gundruk,1/9/2021,220,250,235
Apple(Jholey),1/9/2021,190,200,195
Apple(Fuji),1/9/2021,280,300,290
Banana,1/9/2021,90,100,95
Lime,1/9/2021,110,120,115
Pomegranate,1/9/2021,250,300,275
Grapes(Green),1/9/2021,200,220,210
Grapes(Black),1/9/2021,350,360,355
Orange(Nepali),1/9/2021,100,110,105
Water Melon(Green),1/9/2021,40,50,45
Sweet Orange,1/9/2021,150,160,155
Pineapple,1/9/2021,120,130,125
Cucumber(Local),1/9/2021,70,80,75
Cucumber(Hybrid),1/9/2021,30,40,35
Jack Fruit,1/9/2021,100,110,105
Lemon,1/9/2021,50,60,55
Pear(Chinese),1/9/2021,250,260,255
Papaya(Indian),1/9/2021,90,100,95
Guava,1/9/2021,100,110,105
Mombin,1/9/2021,30,40,35
Kinnow,1/9/2021,70,80,75
Strawberry,1/9/2021,500,550,525
Kiwi,1/9/2021,220,250,235
Ginger,1/9/2021,50,60,55
Chilli Dry,1/9/2021,320,330,325
Chilli Green,1/9/2021,80,90,85
Chilli Green(Bullet),1/9/2021,60,70,65
Chilli Green(Machhe),1/9/2021,70,80,75
Chilli Green(Akbare),1/9/2021,650,700,675
Capsicum,1/9/2021,60,70,65
Garlic Green,1/9/2021,120,140,130
Coriander Green,1/9/2021,80,100,90
Garlic Dry Chinese,1/9/2021,190,200,195
Fish Fresh(Rahu),1/9/2021,270,280,275
Fish Fresh(Bachuwa),1/9/2021,200,210,205
Fish Fresh(Chhadi),1/9/2021,200,210,205
Fish Fresh(Mungari),1/9/2021,260,270,265
Tomato Big(Nepali),1/10/2021,40,50,45
Tomato Big(Indian),1/10/2021,40,50,45
Tomato Small(Local),1/10/2021,10,15,12.5
Tomato Small(Tunnel),1/10/2021,15,20,17.5
Tomato Small(Indian),1/10/2021,15,20,17.5
Tomato Small(Terai),1/10/2021,15,20,17.5
Potato Red,1/10/2021,30,35,32.5
Potato Red(Indian),1/10/2021,28,32,30
Potato White,1/10/2021,28,30,29
Onion Dry (Indian),1/10/2021,70,75,72.5
Carrot(Local),1/10/2021,50,60,55
Cabbage(Local),1/10/2021,20,25,22.5
Cabbage(Terai),1/10/2021,18,20,19
Cabbage,1/10/2021,15,20,17.5
Cauli Local,1/10/2021,20,25,22.5
Cauli Local(Jyapu),1/10/2021,30,35,32.5
Cauli Terai,1/10/2021,15,20,17.5
Raddish Red,1/10/2021,30,35,32.5
Raddish White(Local),1/10/2021,15,20,17.5
Raddish White(Hybrid),1/10/2021,15,20,17.5
Brinjal Long,1/10/2021,35,40,37.5
Brinjal Round,1/10/2021,35,40,37.5
Green Peas,1/10/2021,50,60,55
French Bean(Local),1/10/2021,50,60,55
French Bean(Hybrid),1/10/2021,50,60,55
Sword Bean,1/10/2021,45,50,47.5
Bitter Gourd,1/10/2021,110,120,115
Bottle Gourd,1/10/2021,50,60,55
Pointed Gourd(Local),1/10/2021,150,160,155
Pumpkin,1/10/2021,25,30,27.5
Squash(Long),1/10/2021,20,25,22.5
Squash(Round),1/10/2021,30,35,32.5
Turnip,1/10/2021,70,80,75
Okara,1/10/2021,70,80,75
Barela,1/10/2021,35,40,37.5
Arum,1/10/2021,45,50,47.5
Christophine,1/10/2021,15,20,17.5
Brd Leaf Mustard,1/10/2021,30,40,35
Spinach Leaf,1/10/2021,60,70,65
Cress Leaf,1/10/2021,90,100,95
Mustard Leaf,1/10/2021,50,60,55
Fenugreek Leaf,1/10/2021,70,80,75
Onion Green,1/10/2021,50,60,55
Bakula,1/10/2021,100,110,105
Yam,1/10/2021,50,60,55
Mushroom(Kanya),1/10/2021,95,100,97.5
Mushroom(Button),1/10/2021,240,250,245
Brocauli,1/10/2021,35,40,37.5
Sugarbeet,1/10/2021,80,90,85
Red Cabbbage,1/10/2021,150,200,175
Lettuce,1/10/2021,50,60,55
Knolkhol,1/10/2021,60,70,65
Celery,1/10/2021,220,250,235
Parseley,1/10/2021,380,400,390
Fennel Leaf,1/10/2021,90,100,95
Mint,1/10/2021,220,250,235
Turnip A,1/10/2021,70,80,75
Tamarind,1/10/2021,140,150,145
Bamboo Shoot,1/10/2021,80,90,85
Tofu,1/10/2021,70,80,75
Gundruk,1/10/2021,220,250,235
Apple(Jholey),1/10/2021,200,200,200
Apple(Fuji),1/10/2021,280,300,290
Banana,1/10/2021,90,100,95
Lime,1/10/2021,120,130,125
Pomegranate,1/10/2021,250,300,275
Grapes(Green),1/10/2021,200,220,210
Grapes(Black),1/10/2021,350,360,355
Orange(Nepali),1/10/2021,100,110,105
Water Melon(Green),1/10/2021,40,50,45
Sweet Orange,1/10/2021,150,160,155
Pineapple,1/10/2021,120,130,125
Cucumber(Local),1/10/2021,70,80,75
Cucumber(Hybrid),1/10/2021,30,40,35
Jack Fruit,1/10/2021,100,110,105
Lemon,1/10/2021,50,60,55
Pear(Chinese),1/10/2021,250,260,255
Papaya(Indian),1/10/2021,90,100,95
Guava,1/10/2021,100,110,105
Mombin,1/10/2021,30,40,35
Kinnow,1/10/2021,70,80,75
Strawberry,1/10/2021,500,550,525
Kiwi,1/10/2021,220,250,235
Ginger,1/10/2021,50,60,55
Chilli Dry,1/10/2021,320,330,325
Chilli Green,1/10/2021,70,80,75
Chilli Green(Bullet),1/10/2021,60,70,65
Chilli Green(Machhe),1/10/2021,90,100,95
Capsicum,1/10/2021,50,60,55
Garlic Green,1/10/2021,90,100,95
Coriander Green,1/10/2021,80,100,90
Garlic Dry Chinese,1/10/2021,190,200,195
Fish Fresh(Rahu),1/10/2021,270,280,275
Fish Fresh(Bachuwa),1/10/2021,200,210,205
Fish Fresh(Chhadi),1/10/2021,200,210,205
Fish Fresh(Mungari),1/10/2021,260,270,265
Tomato Big(Nepali),1/11/2021,50,60,55
Tomato Big(Indian),1/11/2021,50,60,55
Tomato Small(Local),1/11/2021,12,18,15
Tomato Small(Tunnel),1/11/2021,20,25,22.5
Tomato Small(Indian),1/11/2021,20,25,22.5
Tomato Small(Terai),1/11/2021,20,25,22.5
Potato Red,1/11/2021,35,38,36.5
Potato Red(Indian),1/11/2021,30,32,31
Potato White,1/11/2021,30,32,31
Onion Dry (Indian),1/11/2021,70,75,72.5
Carrot(Local),1/11/2021,50,60,55
Carrot(Terai),1/11/2021,35,40,37.5
Cabbage(Local),1/11/2021,20,25,22.5
Cabbage(Terai),1/11/2021,15,20,17.5
Cabbage,1/11/2021,20,25,22.5
Cauli Local,1/11/2021,15,20,17.5
Cauli Local(Jyapu),1/11/2021,30,35,32.5
Cauli Terai,1/11/2021,10,15,12.5
Raddish Red,1/11/2021,30,35,32.5
Raddish White(Local),1/11/2021,15,20,17.5
Raddish White(Hybrid),1/11/2021,15,20,17.5
Brinjal Long,1/11/2021,30,35,32.5
Brinjal Round,1/11/2021,35,40,37.5
Green Peas,1/11/2021,35,40,37.5
French Bean(Local),1/11/2021,30,35,32.5
French Bean(Hybrid),1/11/2021,35,40,37.5
Sword Bean,1/11/2021,35,40,37.5
Bitter Gourd,1/11/2021,110,120,115
Bottle Gourd,1/11/2021,45,50,47.5
Pointed Gourd(Local),1/11/2021,130,140,135
Pumpkin,1/11/2021,25,30,27.5
Squash(Long),1/11/2021,20,25,22.5
Squash(Round),1/11/2021,25,30,27.5
Turnip,1/11/2021,70,80,75
Okara,1/11/2021,75,80,77.5
Sweet Potato,1/11/2021,70,75,72.5
Barela,1/11/2021,35,40,37.5
Arum,1/11/2021,45,50,47.5
Christophine,1/11/2021,15,20,17.5
Brd Leaf Mustard,1/11/2021,30,35,32.5
Spinach Leaf,1/11/2021,60,70,65
Cress Leaf,1/11/2021,90,100,95
Mustard Leaf,1/11/2021,50,60,55
Fenugreek Leaf,1/11/2021,70,80,75
Onion Green,1/11/2021,50,60,55
Bakula,1/11/2021,100,110,105
Yam,1/11/2021,50,60,55
Mushroom(Kanya),1/11/2021,90,100,95
Mushroom(Button),1/11/2021,240,250,245
Brocauli,1/11/2021,30,35,32.5
Sugarbeet,1/11/2021,80,90,85
Red Cabbbage,1/11/2021,150,200,175
Lettuce,1/11/2021,50,60,55
Knolkhol,1/11/2021,60,70,65
Celery,1/11/2021,240,250,245
Parseley,1/11/2021,380,400,390
Fennel Leaf,1/11/2021,90,100,95
Mint,1/11/2021,220,250,235
Turnip A,1/11/2021,70,80,75
Tamarind,1/11/2021,140,150,145
Bamboo Shoot,1/11/2021,80,90,85
Tofu,1/11/2021,70,80,75
Gundruk,1/11/2021,220,250,235
Apple(Jholey),1/11/2021,190,200,195
Apple(Fuji),1/11/2021,280,300,290
Banana,1/11/2021,90,100,95
Lime,1/11/2021,120,130,125
Pomegranate,1/11/2021,250,300,275
Grapes(Green),1/11/2021,200,220,210
Grapes(Black),1/11/2021,250,400,325
Orange(Nepali),1/11/2021,100,110,105
Water Melon(Green),1/11/2021,40,50,45
Sweet Orange,1/11/2021,150,160,155
